variant,source,f_revised,progress,comment
bengal gram grits,bengal gram,raw_agricultural_material,todo,
split bengal gram,bengal gram,raw_agricultural_material,todo,
black pepper bits,black pepper,taste profile / spice,todo,
thickener ins 466,wood pulp | cotton,thickener,todo,
red chilli flakes,red chilli,taste profile / spice,todo,
red chilli powder,red chilli,taste profile / spice,todo,
red chilly flakes,red chilli,taste profile / spice,todo,
red chilly powder,red chilli,taste profile / spice,todo,
chromium chloride,mineral,NULL,todo,
citrus pulp cells,citrus,raw_agricultural_material,done,"duplicate of row 1232"
orange pulp cells,orange,raw_agricultural_material,done,"duplicate of row 1233"
candied cranberry,cranberry,sweetener,todo,
thickener ins 414,acacia tree,thickener,todo,
cake gel ins 470a,palm | soybean | sunflower,emulsifier,todo,
thickener ins 508,mineral,thickener,todo,
improver ins 1100,aspergillus oryzae,flour treatment agent,todo,
improver ins 1102,aspergillus niger,flour treatment agent,todo,
improver ins 1104,aspergillus oryzae,flour treatment agent,todo,
humectant ins 422,palm | soybean | sunflower,humectant,todo,
green gram flakes,green gram,raw_agricultural_material,todo,
husked green gram,green gram,raw_agricultural_material,todo,
whole green moong,green gram,raw_agricultural_material,todo,
moong dal protein,green gram,processed_ingredient,todo,
green tea extract,green tea,flavouring agent,todo,
thickener ins 412,guar bean,thickener|stabiliser,todo,
electrolytic iron,mineral,fortification_agent,todo,
dehydrated kachri,kachri,taste profile / spice,todo,
soyabean lecithin,soybean,emulsifier,todo,
litchi flavouring,litchi,flavouring agent,todo,
acidulant ins 296,synthetic,acidity regulator,todo,
corn maltodextrin,corn,bulking agent,todo,
manganese citrate,mineral,fortification_agent,todo,
origanum majorana,marjoram,taste profile / spice,todo,
thickener ins 440,apple | citrus,thickener|stabiliser,todo,
stabilizer pectin,apple | citrus,stabiliser|thickener|gelling agent,todo,
pomegranate juice,pomegranate,flavouring agent,todo,
pomegranate seeds,pomegranate,raw_agricultural_material,todo,
potassium sorbate,synthetic,preservative,todo,
star anise powder,star anise,taste profile / spice,todo,
sweetener ins 955,synthetic,sweetener,todo,
vegetable protein,soybean | groundnut | pea,processed_ingredient,todo,
vitamin b complex,synthetic,fortification_agent,todo,
ro-purified water,water,raw_agricultural_material,todo,
whole wheat flour,wheat,raw_agricultural_material,todo,
whole wheat flour,wheat,raw_agricultural_material,done,"duplicate of row 1288"
black truffle oil,truffle,lipid base,todo,
calcium caseinate,milk,processed_ingredient,todo,
cantaloupe powder,cantaloupe,flavouring agent,todo,
ferrous gluconate,mineral,fortification_agent,todo,
trans fatty acids,palm | soybean | groundnut,lipid base,todo,
pueraria tuberosa,pueraria tuberosa,raw_agricultural_material,todo,
pullulan ins 1204,aureobasidium pullulans,thickener|stabiliser|gelling agent,todo,
red currant dices,red currant,raw_agricultural_material,todo,
red currant puree,red currant,raw_agricultural_material,todo,
sunflower creamer,sunflower,emulsifier,todo,
thaumatin ins 957,thaumatococcus daniellii,sweetener,todo,
wheatgrass powder,wheatgrass,processed_ingredient,todo,
improver xylanase,trichoderma reesei,flour treatment agent,todo,
sauvarchala lavana,mineral,taste profile / spice,todo,
common edible salt,mineral,raw_agricultural_material,todo,
edible common salt,mineral,raw_agricultural_material,todo,
color ins 160a iii,carrot,colour,todo,
edible maze starch,corn,processed_ingredient,todo,
thickener ins 1422,corn | tapioca,thickener,todo,
thickener ins 1405,tapioca,thickener,todo,
thickener ins 1412,corn,thickener,todo,
thickener ins 1442,corn | tapioca,thickener,todo,
thickener ins 1401,corn | potato,thickener,todo,
thickener ins 1440,corn | tapioca,thickener,todo,
sweet cream powder,milk,processed_ingredient,todo,
high maltose syrup,corn | tapioca,sweetener,todo,
salts of magnesium,mineral,fortification_agent,todo,
magnesium stearate,mineral | palm,anticaking agent,todo,
magnesium sulphate,mineral,fortification_agent,todo,
magnesium chloride,mineral,firming agent,todo,
dried mango powder,mango,taste profile / spice,todo,
mango fruit powder,mango,taste profile / spice,todo,
mango juice powder,mango,flavouring agent,todo,
dried mango slices,mango,taste profile / spice,todo,
dried skimmed milk,milk,processed_ingredient,todo,
whole grain saamai,saamai,raw_agricultural_material,todo,
sweetener ins 960a,stevia,sweetener,todo,
sweetener ins e960,stevia,sweetener,todo,
dextrose anhydrous,corn | tapioca,sweetener,todo,
invert sugar syrup,sugarcane,sweetener,todo,
split black lentil,lentil,raw_agricultural_material,todo,
sushi rice vinegar,rice,flavouring agent,todo,
acidity regulators,synthetic | corn,acidity regulator,todo,
stabilizer ins 450,synthetic,stabiliser,todo,
texturizer ins 451,synthetic,stabiliser,todo,
emulsifier ins 452,synthetic,emulsifier,todo,
stabilizer ins 452,synthetic,stabiliser,todo,
stabilizer ins 339,mineral,stabiliser,todo,
stabilizer ins 340,mineral,stabiliser,todo,
raising agents 341,mineral,raising agent,todo,
stabilizer ins 341,mineral,stabiliser,todo,
stabilizer ins 170,mineral,stabiliser,todo,
sodium bicarbonate,synthetic,raising agent,todo,
citric acid powder,synthetic | corn,acidity regulator,todo,
emulsifier ins 415,synthetic,emulsifier,todo,
stabilizer ins 415,synthetic,stabiliser,todo,
dhaniya distillate,coriander,flavouring agent,todo,
orange peel powder,orange,taste profile / spice,todo,
saffron flavouring,saffron,flavouring agent,todo,
maltitol ins 965 i,corn | wheat,sweetener|bulking agent,todo,
proteins from whey,milk,processed_ingredient,todo,
whole ajwain seeds,ajwain,taste profile / spice,todo,
carom seeds powder,ajwain,taste profile / spice,todo,
emulsifier ins 442,rapeseed | soybean,emulsifier,todo,
krishna tulsi leaf,tulsi,taste profile / spice,todo,
tulsi leaf extract,tulsi,flavouring agent,todo,
sella basmati rice,rice,raw_agricultural_material,todo,
white basmati rice,rice,raw_agricultural_material,todo,
roasted split gram,chickpea,raw_agricultural_material,todo,
black pepper whole,black pepper,taste profile / spice,todo,
dried blackcurrant,blackcurrant,sweetener,todo,
clarified milk fat,milk,lipid base,todo,
stabilizer ins 466,wood pulp | cotton,stabiliser,todo,
stabilizer ins 460,wood pulp,stabiliser,todo,
green chilli paste,green chilli,taste profile / spice,todo,
green chilli puree,green chilli,taste profile / spice,todo,
kashmiri lal mirch,chilli,taste profile / spice,todo,
dried green chilli,green chilli,taste profile / spice,todo,
coconut components,coconut,raw_agricultural_material,todo,
desiccated coconut,coconut,raw_agricultural_material,todo,
cumin seeds powder,cumin,taste profile / spice,todo,
disodium guanylate,synthetic,flavouring agent,todo,
flavouring ins 627,synthetic,flavouring agent,todo,
disodium inosinate,synthetic,flavouring agent,todo,
flavouring ins 631,synthetic,flavouring agent,todo,
acacia gum ins 414,acacia,stabiliser,todo,
emulsifier ins 414,acacia,emulsifier,todo,
stabilizer ins 414,acacia,stabiliser,todo,
emulsifier ins 400,synthetic,emulsifier,todo,
emulsifier ins 429,soybean | sunflower,emulsifier,todo,
emulsifier ins 436,synthetic,emulsifier,todo,
emulsifier ins 478,palm | soybean | sunflower,emulsifier,todo,
emulsifier ins 479,palm | soybean | sunflower,emulsifier,todo,
emulsifier ins 481,synthetic,emulsifier,todo,
stabilizer ins 400,synthetic,stabiliser,todo,
stabilizer ins 436,synthetic,stabiliser,todo,
stabilizer ins 481,synthetic,stabiliser,todo,
emulsifier ins 491,sorbitol | palm,emulsifier,todo,
stabilizer ins 491,sorbitol | palm,stabiliser,todo,
emulsifier ins 433,synthetic,emulsifier,todo,
stabilizer ins 433,synthetic,stabiliser,todo,
emulsifier ins 475,palm | soybean | sunflower,emulsifier,todo,
stabilizer ins 475,palm | soybean | sunflower,stabiliser,todo,
emulsifier ins 476,castor bean,emulsifier,todo,
emulsifier ins 477,palm | soybean | sunflower,emulsifier,todo,
stabilizer ins 477,palm | soybean | sunflower,stabiliser,todo,
emulsifier ins 492,sorbitol | palm,emulsifier,todo,
stabilizer ins 508,mineral,stabiliser,todo,
potassium chloride,mineral,fortification_agent,todo,
stabilizer ins 516,mineral,stabiliser,todo,
milk fat desi ghee,milk,lipid base,todo,
humectant glycerol,palm | soybean | sunflower,humectant,todo,
emulsifier ins 445,pine resin,emulsifier,todo,
stabilizer ins 445,pine resin,stabiliser,todo,
grape seed extract,grape,NULL,todo,
elaichi flavouring,cardamom,flavouring agent,todo,
green chilka moong,mung bean,raw_agricultural_material,todo,
stabilizer ins 412,guar bean,stabiliser,todo,
khar alkaline salt,mineral,raw_agricultural_material,todo,
sunflower lecithin,sunflower,emulsifier,todo,
emulsifier ins 322,soybean | sunflower,emulsifier,todo,
stabilizer ins 322,soybean | sunflower,stabiliser,todo,
lemon juice powder,lemon,flavouring agent,todo,
lemon fruit powder,lemon,flavouring agent,todo,
long pepper powder,long pepper,taste profile / spice,todo,
malic acid ins 296,apple,acidity regulator,todo,
wheat maltodextrin,wheat,bulking agent,todo,
manganese sulphate,mineral,NULL,todo,
milk solids casein,milk,processed_ingredient,todo,
monk fruit extract,monk fruit,sweetener,todo,
emulsifier ins 471,palm | soybean | sunflower,emulsifier,todo,
stabilizer ins 471,palm | soybean | sunflower,stabiliser,todo,
dehydrated parsley,parsley,taste profile / spice,todo,
emulsifier ins 440,apple | citrus,emulsifier,todo,
stabilizer ins 440,apple | citrus,stabiliser,todo,
stabilizer ins 435,synthetic,stabiliser,todo,
pomegranate powder,pomegranate,colour,todo,
pomegranate flower,pomegranate,taste profile / spice,todo,
bacillus coagulans,synthetic,NULL,todo,
flattened red rice,rice,raw_agricultural_material,todo,
safflower seed oil,safflower,lipid base,todo,
stabilizer ins 401,seaweed,stabiliser,todo,
stabilizer ins 331,synthetic,stabiliser,todo,
emulsifier ins 420,corn | tapioca,emulsifier,todo,
dehydrated spinach,spinach,raw_agricultural_material,todo,
stabilizer ins 444,synthetic,stabiliser,todo,
stabilizer ins 417,tara tree,stabiliser,todo,
stabilizer ins 337,synthetic,stabiliser,todo,
vanilla flavouring,vanilla,flavouring agent,todo,
bacche di vaniglia,vanilla,taste profile / spice,todo,
gousses de vanille,vanilla,taste profile / spice,todo,
vanilla flavouring,vanilla,flavouring agent,done,"duplicate of row 1438"
vamilla flavouring,vanilla,flavouring agent,todo,
ammonium hydroxide,synthetic,acidity regulator,todo,
basa pangasius sp.,basa,raw_agricultural_material,todo,
custard flavouring,synthetic,flavouring agent,todo,
stabilizer ins 472,palm | soybean | sunflower,emulsifier|stabiliser,todo,
khus roots extract,khus,flavouring agent,todo,
distillate of khas,khas,flavouring agent,todo,
distillate of khus,khus,flavouring agent,todo,
stabilizer ins 418,synthetic,stabiliser,todo,
stabilizer ins 406,seaweed,stabiliser|gelling agent,todo,
glutamine peptides,synthetic,fortification_agent,todo,
munakka flavouring,munakka,flavouring agent,todo,
munakka distillate,munakka,flavouring agent,todo,
propellant ins 941,synthetic,propellant,todo,
tulsi leaf extract,tulsi,flavouring agent,done,"duplicate of row 1355"
cod liver fish oil,cod,lipid base,todo,
vegetable fats shea,shea,lipid base,todo,
himalayan pink salt,mineral,raw_agricultural_material,todo,
food color ins 150d,sugarcane,colour,todo,
annatto ins 160b ii,annatto,colour,todo,
vitamins vitamin b2,synthetic,fortification_agent,todo,
stabilizer ins 1422,tapioca,stabiliser,todo,
emulsifier ins 1450,corn | tapioca,emulsifier|stabiliser,todo,
stabilizer ins 1450,corn | tapioca,emulsifier|stabiliser,todo,
stabilizer ins 1400,corn,stabiliser,todo,
stabilizer ins 1404,tapioca,stabiliser,todo,
tropical flavouring,synthetic,flavouring agent,todo,
organic ginger root,ginger,taste profile / spice,todo,
dried ginger powder,ginger,taste profile / spice,todo,
dried glucose syrup,corn | tapioca,sweetener|bulking agent,todo,
hazelnut flavouring,hazelnut,flavouring agent,todo,
magnesium aspartate,mineral,fortification_agent,todo,
magnesium carbonate,mineral,fortification_agent,todo,
magnesium gluconate,mineral,fortification_agent,todo,
magnesium hydroxide,mineral,fortification_agent,todo,
magnesium threonate,mineral,fortification_agent,todo,
refined wheat flour,wheat,raw_agricultural_material,todo,
alphonso mango pulp,mango,raw_agricultural_material,todo,
skimmed milk powder,milk,processed_ingredient,todo,
coconut milk powder,coconut,processed_ingredient,todo,
defatted soya flour,soybean,raw_agricultural_material,todo,
soya flour defatted,soybean,raw_agricultural_material,todo,
soy protein isolate,soybean,processed_ingredient,todo,
rawberry flavouring,synthetic,flavouring agent,todo,
sunflower fruit oil,sunflower,lipid base,todo,
vitamin a palmitate,palm,fortification_agent,todo,
vital wheat protein,wheat,processed_ingredient,todo,
aregulators ins 341,mineral,acidity regulator,todo,
humectant ins 451 i,mineral,humectant,todo,
sequestrant ins 451,mineral,sequestrant,todo,
sequestrant ins 452,mineral,sequestrant,todo,
potassium carbonate,mineral,acidity regulator,todo,
magnesium carbonate,mineral,anticaking agent,done,"duplicate of row 1474"
antioxidant ins 330,synthetic | corn,antioxidant|preservative,todo,
organic fennel seed,fennel,taste profile / spice,todo,
partly skimmed milk,milk,raw_agricultural_material,todo,
acetic acid ins 260,synthetic,acidity regulator,todo,
malted barley flour,barley,raw_agricultural_material,todo,
basmati rice grains,rice,raw_agricultural_material,todo,
cluster bean powder,cluster bean,thickener,todo,
big cardamom powder,cardamom,taste profile / spice,todo,
black pepper powder,black pepper,taste profile / spice,todo,
butterscotch pieces,milk | sugarcane,sweetener|flavouring agent,todo,
cauliflower florets,cauliflower,raw_agricultural_material,todo,
malt extract solids,barley,sweetener,todo,
green chilli flakes,chilli,taste profile / spice,todo,
roasted cumin seeds,cumin,taste profile / spice,todo,
emulsifier ins 4806,palm | soybean | sunflower,emulsifier,todo,
stabilizer ins 4806,palm | soybean | sunflower,stabiliser,todo,
stabilizer ins 1202,synthetic,stabiliser,todo,
emulsifier tween 80,palm | soybean | sunflower,emulsifier,todo,
confectioners glaze,lac beetle,glazing agent,todo,
cardamom flavouring,cardamom,flavouring agent,todo,
stabilizer guar gum,guar,stabiliser|thickener,todo,
emulsifier lecithin,soybean | sunflower,emulsifier,todo,
sunflower lecithins,sunflower,emulsifier,todo,
candied lemon peels,lemon,sweetener,todo,
whole dew bean moth,moth bean,raw_agricultural_material,todo,
parsley leaf powder,parsley,taste profile / spice,todo,
pea protein isolate,pea,processed_ingredient,todo,
stabilizer ins e440,apple | citrus,stabiliser|thickener,todo,
sichuan pepper corn,sichuan peppercorn,taste profile / spice,todo,
stabilizer ins 1201,synthetic,stabiliser,todo,
flattened rice poha,rice,raw_agricultural_material,todo,
rosemary flavouring,rosemary,flavouring agent,todo,
sequestrant ins 385,synthetic,sequestrant,todo,
antioxidant ins 386,synthetic,antioxidant,todo,
stabilizer tara gum,tara tree,stabiliser|thickener,todo,
vanillin flavouring,synthetic,flavouring agent,todo,
white pepper powder,white peppercorn,taste profile / spice,todo,
asparagus recemosus,asparagus recemosus,raw_agricultural_material,todo,
sweet potato starch,sweet potato,processed_ingredient,todo,
emulsifier ins 4726,palm | soybean | sunflower,emulsifier,todo,
emulsifier ins 472b,palm | soybean | sunflower,emulsifier,todo,
emulsifier ins 472c,palm | soybean | sunflower,emulsifier,todo,
dioscores bulbifera,dioscorea bulbifera,raw_agricultural_material,todo,
distillate of gajar,carrot,flavouring agent,todo,
distillate of kasni,kasni,flavouring agent,todo,
stabilizer ins 1102,synthetic,stabiliser,todo,
stabilizer ins 1505,synthetic,stabiliser,todo,
stabilizer ins 1204,synthetic,stabiliser,todo,
vegetable shortening,palm | soybean | groundnut,lipid base,todo,
edible vegetable fat,palm | soybean | sunflower | groundnut,lipid base,todo,
edible vegetable oil,palm | soybean | sunflower | groundnut,lipid base,todo,
edible vegeteble oil,palm | soybean | sunflower | groundnut,lipid base,todo,
raw mango flavouring,mango,flavouring agent,todo,
milkotin milk solids,milk,processed_ingredient,todo,
foxtail millet flour,foxtail millet,raw_agricultural_material,todo,
sorghum millet flour,sorghum,raw_agricultural_material,todo,
pistachio flavouring,pistachio,flavouring agent,todo,
refined ricebran oil,rice,lipid base,todo,
refined soyabean oil,soybean,lipid base,todo,
soya protein isolate,soybean,processed_ingredient,todo,
inverter sugar syrup,sugarcane,sweetener,todo,
rising agent ins 575,corn | tapioca,raising agent,todo,
texturizer ins 451 i,synthetic,texturizer,todo,
sodium polyphosphate,mineral,sequestrant,todo,
emulsifier ins 452 i,mineral,emulsifier,todo,
stabilizer ins 452 i,mineral,stabiliser,todo,
potassium phosphates,mineral,acidity regulator,todo,
preservative ins 341,mineral,preservative,todo,
ammonium bicarbonate,synthetic,raising agent,todo,
rising agent ins 503,synthetic,raising agent,todo,
potassium carbonates,mineral,acidity regulator,todo,
stabilizer ins 170 i,mineral,stabiliser,todo,
compounded asafetida,asafoetida | wheat,taste profile / spice,todo,
yeast extract powder,yeast,flavouring agent,todo,
petit-lait en poudre,milk,processed_ingredient,todo,
acesulfame potassium,synthetic,sweetener,todo,
dahi starter culture,milk,fermentation_agent,todo,
lactic acid ferments,synthetic,preservative,todo,
enzyme alpha amylase,aspergillus oryzae | barley,flour treatment agent,todo,
coffee beans arabica,coffee,flavouring agent,todo,
coffee beans robusta,coffee,flavouring agent,todo,
chickpea flour besan,chickpea,raw_agricultural_material,todo,
large cardamom whole,cardamom,taste profile / spice,todo,
blueberry flavouring,blueberry,flavouring agent,todo,
emulsifier ins 460 i,wood,emulsifier,todo,
stabilizer ins 460 i,wood,stabiliser,todo,
cottage cheese chena,milk,processed_ingredient,todo,
chocolate flavouring,cocoa,flavouring agent,todo,
cranberry flavouring,cranberry,flavouring agent,todo,
roasted cumin powder,cumin,taste profile / spice,todo,
thickener acacia gum,acacia,thickener|stabiliser,todo,
sorbitan tristearate,palm | soybean | sunflower,emulsifier,todo,
ferric pyrophosphate,mineral,antioxidant,todo,
monosodium glutamate,synthetic | sugarcane | corn,taste profile / spice,todo,
confectioner's glaze,lac beetle,coating agent,todo,
pharmaceutical glaze,lac beetle,coating agent,todo,
split chickpea flour,chickpea,raw_agricultural_material,todo,
green tea flavouring,green tea,flavouring agent,todo,
emulsifier lecithins,soybean | sunflower,emulsifier,todo,
split yellow lentils,lentil,raw_agricultural_material,todo,
roasted mustard seed,mustard,taste profile / spice,todo,
toasted onion flakes,onion,taste profile / spice,todo,
toasted onion powder,onion,taste profile / spice,todo,
vitamins pantothenol,synthetic,antioxidant,todo,
pineapple flavouring,pineapple,flavouring agent,todo,
preservative ins 212,synthetic,preservative,todo,
preservative ins 224,synthetic,preservative,todo,
preservative ins 202,synthetic,preservative,todo,
pyridoxine hydroxide,synthetic,antioxidant,todo,
glutinous rice flour,rice,raw_agricultural_material,todo,
preservative ins 211,synthetic,preservative,todo,
preservative ins 200,synthetic,preservative,todo,
humectant ins 420 ii,corn | tapioca,humectant,todo,
thiamine mononitrate,synthetic,antioxidant,todo,
thiamin hydrohloride,synthetic,antioxidant,todo,
thiamine mononitrate,synthetic,antioxidant,done,"duplicate of row 1608"
processed gooseberry,gooseberry,raw_agricultural_material,todo,
vitamins vitamin b12,synthetic,antioxidant,todo,
bubblegum flavouring,synthetic,flavouring agent,todo,
creatine monohydrate,synthetic,antioxidant,todo,
emulsifier ins 472 e,palm | soybean | sunflower,emulsifier,todo,
psyllium husk powder,psyllium,thickener|bulking agent,todo,
thickener gellan gum,sphingomonas elodea,thickener|stabiliser,todo,
guarana seed extract,guarana,flavouring agent,todo,
water chestnut flour,water chestnut,raw_agricultural_material,todo,
refined palmolein oil,palm,lipid base,todo,
hydrogenated palm oil,palm,lipid base,todo,
hydrogenated palm fat,palm,lipid base,todo,
edible vegetable fats,palm | soybean | groundnut | sunflower,lipid base,todo,
refined vegetable oil,palm | soybean | sunflower | groundnut,lipid base,todo,
annatto extract color,annatto,colour,todo,
color paprika extract,paprika,colour,todo,
curcumin color ins 10,turmeric,colour,todo,
synthetic food colors,synthetic,colour,todo,
color vegetable juice,carrot | beetroot,colour,todo,
modified maize starch,corn,thickener,todo,
modified starch maize,corn,thickener,todo,
roasted garlic flakes,garlic,taste profile / spice,todo,
lait ecreme en poudre,milk,processed_ingredient,todo,
lait entier en poudre,milk,processed_ingredient,todo,
refined rice bran oil,rice,lipid base,todo,
strawberry flavouring,strawberry,flavouring agent,todo,
refined sunflower oil,sunflower,lipid base,todo,
acidity regulator ins,synthetic,acidity regulator,todo,
acidity regulators ns,synthetic,acidity regulator,todo,
raising agent ins 341,mineral,raising agent,todo,
emulsifier ins 339iii,synthetic,emulsifier,todo,
stabilizer ins 339 ii,synthetic,stabiliser,todo,
dipotassium phosphate,mineral,firming agent,todo,
firming agent ins 341,mineral,firming agent,todo,
raising agent ins 503,synthetic,raising agent,todo,
potassium bicarbonate,synthetic,raising agent,todo,
compounded asafoetida,asafoetida,taste profile / spice,todo,
asafootida flavouring,asafoetida,flavouring agent,todo,
raising agent ins 500,synthetic,raising agent,todo,
fenugreek leaf powder,fenugreek,taste profile / spice,todo,
thickener xanthan gum,synthetic | corn,thickener,todo,
caramel color ins 415,sugarcane,colour,todo,
coriander seed powder,coriander,taste profile / spice,todo,
haldi turmeric powder,turmeric,taste profile / spice,todo,
pasturised toned milk,milk,raw_agricultural_material,todo,
pasteurised amul milk,milk,raw_agricultural_material,todo,
active lactic culture,milk,fermentation_agent,todo,
live bacteria culture,milk,fermentation_agent,todo,
ammonium phosphatides,synthetic,emulsifier,todo,
soluble coffee powder,coffee,flavouring agent,todo,
artificial flavouring,synthetic,flavouring agent,todo,
black cardamom powder,cardamom,taste profile / spice,todo,
large cardamom powder,cardamom,taste profile / spice,todo,
indian cottage cheese,milk,processed_ingredient,todo,
paneer cottage cheese,milk,processed_ingredient,todo,
romano cheese enzymes,milk,fermentation_agent,todo,
cucumber seed ins 396,cucumber,anticaking agent,todo,
stabilizer gum arabic,acacia,stabiliser|thickener,todo,
sorbitean tristearate,palm | soybean | sunflower,emulsifier,todo,
mono sodium glutamate,synthetic,taste profile / spice,todo,
gelling agent ins 508,synthetic,gelling agent,todo,
ghee clarified butter,milk,lipid base,todo,
glazing agent ins 903,beeswax,glazing agent,todo,
glazing agent ins 901,beeswax,glazing agent,todo,
glazing agent ins 904,shellac,glazing agent,todo,
green cardamom powder,cardamom,taste profile / spice,todo,
refined groundnut oil,groundnut,lipid base,todo,
emulsifiers lecithins,soybean | sunflower,emulsifier,todo,
soya lecithin ins 322,soybean,emulsifier,todo,
nimbu pani flavouring,lemon,flavouring agent,todo,
mono and diglycerides,palm | soybean | sunflower,emulsifier,todo,
mono-and diglycerides,palm | soybean | sunflower,emulsifier,todo,
roasted mustard seeds,mustard,taste profile / spice,todo,
gelling agent ins 440,apple | citrus,gelling agent,todo,
sichuan pepper powder,sichuan pepper,taste profile / spice,todo,
soya sauce flavouring,soybean | wheat,flavouring agent,todo,
antioxidant vitamin d,lanolin | fish liver oil,antioxidant,todo,
vapor distilled water,water,raw_agricultural_material,todo,
reverse osmosis water,water,raw_agricultural_material,todo,
acai berry flavouring,acai,flavouring agent,todo,
black truffle extract,truffle,flavouring agent,todo,
capsule shell ins 428,beef | pork | fish,gelling agent,todo,
croscarmellose sodium,wood,bulking agent,todo,
cultured sweet potato,sweet potato,fermentation_agent,todo,
enzyme blend digezyme,aspergillus oryzae | rice,fermentation_agent,todo,
fructooligosaccharide,sugarcane | chicory,sweetener|bulking agent,todo,
stabilizer gellan gum,sphingomonas elodea bacteria,stabiliser|gelling agent,todo,
saturated fatty acids,palm | coconut | milk,lipid base,todo,
shankhapushpi extract,shankhapushpi,flavouring agent,todo,
hydrogenated table oil,palm | soybean | groundnut,lipid base,todo,
dehydrated carrot bits,carrot,raw_agricultural_material,todo,
caramel color ins 150a,sugarcane,colour,todo,
color caramel ins 150a,sugarcane,colour,todo,
color paprika ins 160c,paprika,colour,todo,
color turmeric extract,turmeric,colour,todo,
color fd&c red 40 lake,synthetic,colour,todo,
dehydrated garlic bits,garlic,taste profile / spice,todo,
organic ginger rhizome,ginger,taste profile / spice,todo,
magnesium bisglycinate,synthetic,NULL,todo,
split black gram flour,black gram,raw_agricultural_material,todo,
filtered flax seed oil,flax,lipid base,todo,
sodium acetate ins 262,synthetic,preservative,todo,
stabilizer ins 450 iii,mineral,stabiliser,todo,
raising agent ins 3410,mineral,raising agent,todo,
raising agent ins 5030,synthetic,raising agent,todo,
raising agent ins 500i,mineral,raising agent,todo,
dried fenugreek leaves,fenugreek,taste profile / spice,todo,
stabilizer xanthan gum,xanthomonas campestris bacteria,stabiliser|thickener|gelling agent,todo,
dried coriander leaves,coriander,taste profile / spice,todo,
ground coriander seeds,coriander,taste profile / spice,todo,
pasteurised toned milk,milk,raw_agricultural_material,todo,
standardized milk curd,milk,processed_ingredient,todo,
active lactic cultures,milk,fermentation_agent,todo,
antifoaming agent dmps,synthetic,antifoaming agent,todo,
potassium ferrocyanide,mineral,anticaking agent,todo,
bifidobacterium lactis,milk,fermentation_agent,todo,
marinated paneer dices,milk,processed_ingredient,todo,
cacao magro in polvere,cocoa,processed_ingredient,todo,
cacao maigre en poudre,cocoa,processed_ingredient,todo,
condensed skimmed milk,milk,processed_ingredient,todo,
refined cottonseed oil,cottonseed,lipid base,todo,
wheat improver ins 510,mineral,flour treatment agent,todo,
wheat improver ins 923,synthetic,flour treatment agent,todo,
glazing agent carnauba,carnauba palm,glazing agent,todo,
kiwi juice concentrate,kiwi,flavouring agent,todo,
emulsifier soy ins 322,soybean,emulsifier,todo,
onion flavouring agent,onion,flavouring agent,todo,
proabsor8 blend papain,papaya,NULL,todo,
gelling agent ins 4401,apple | citrus,gelling agent,todo,
pomegranate flavouring,pomegranate,flavouring agent,todo,
potato flakes potatoes,potato,raw_agricultural_material,todo,
reducing agent ins 223,synthetic,preservative,todo,
wheat improver ins 923,synthetic,flour treatment agent,done,"duplicate of row 1733"
shatavari root extract,shatavari,raw_agricultural_material,todo,
enzyme b-galactosidase,synthetic,fermentation_agent,todo,
b-galactosidase enzyme,synthetic,fermentation_agent,todo,
ultrasorb tech lactase,synthetic,fermentation_agent,todo,
cysteine hydrochloride,synthetic,flour treatment agent,todo,
distillate of gaozaban,gaozaban,flavouring agent,todo,
fructo-oligosaccharide,sugarcane,sweetener|bulking agent,todo,
fructo-oligosaccharide,sugarcane,sweetener|bulking agent,done,"duplicate of row 1750"
fructo oligosaccharide,sugarcane,sweetener|bulking agent,todo,
fructooligosaccharides,sugarcane,sweetener|bulking agent,todo,
l-lysine hydrochloride,synthetic,flour treatment agent,todo,
packaging gas nitrogen,synthetic,packaging gas,todo,
vegetable oil palmolein,palm,lipid base,todo,
centre fractionated fat,palm,lipid base,todo,
carrot flavouring agent,carrot,flavouring agent,todo,
modified starch tapioca,tapioca,thickener,todo,
starch acetate ins 1420,tapioca | corn,thickener,todo,
mixed fruits flavouring,apple | mango | guava,flavouring agent,todo,
vegetables garlic paste,garlic,taste profile / spice,todo,
mango puree concentrate,mango,raw_agricultural_material,todo,
concentrated mango pulp,mango,raw_agricultural_material,todo,
vegetable oil rice bran,rice,lipid base,todo,
steviol glycoside reb-a,stevia,sweetener,todo,
strawberry fruit powder,strawberry,flavouring agent,todo,
vegetable oil sunflower,sunflower,lipid base,todo,
leavening agent ins 341,mineral,raising agent,todo,
leavening agent ins 450,mineral,raising agent,todo,
sodium tripolyphosphate,mineral,sequestrant,todo,
monopotassium phosphate,mineral,acidity regulator,todo,
leavening agent ins 500,mineral,raising agent,todo,
raising agent ins 500 i,mineral,raising agent,todo,
dehydrated orange juice,orange,flavouring agent,todo,
reconstituted skim milk,milk,raw_agricultural_material,todo,
whey protein hydrolsate,milk,processed_ingredient,todo,
apple juice concentrate,apple,flavouring agent,todo,
organic rama tulsi leaf,tulsi,flavouring agent,todo,
organic vana tulsi leaf,tulsi,flavouring agent,todo,
bifidobacterium bifidum,synthetic,probiotic,todo,
black pepper flavouring,black pepper,flavouring agent,todo,
butterscotch flavouring,synthetic,flavouring agent,todo,
cocoa butter equivalent,palm | shea | sal,lipid base,todo,
refined cotton seed oil,cottonseed,lipid base,todo,
cake emulsifier ins 491,palm,emulsifier,todo,
